FixedRef,ProfileID,PartySubTypeID,IdentityID,FixedRef,Primary,False,AliasFixedRef,AliasTypeID,Primary,LowQuality,DocumentedNameID,FixedRef,DocNameStatusID,NamePartValue,NamePartGroupID,ScriptID,ScriptStatusID,Acronym,FeatureID,FeatureTypeID,FeatureVersionID,ReliabilityID,Comment,VersionLocationID,NamePartTypeID
36,36,3,4375,36,false,false,36,1400,false,false,13178,36,2,AERO-CARIBBEAN,19387,215,1,false,150025,25,200025,1,,25,1525
173,173,3,4310,173,false,false,173,1400,false,false,12583,173,2,AVIA IMPORT,18519,215,1,false,150129,25,200129,1,,129,1525
306,306,3,4314,306,false,false,306,1400,false,false,12585,306,2,NATIONAL BANK OF CUBA,18521,215,1,false,150199,25,200199,1,,199,1525
424,424,3,4322,424,true,false,424,1403,true,false,4322,424,1,BOUTIQUE LA MAISON,6639,215,1,false,150247,25,200247,1,,247,1525
475,475,3,4330,475,true,false,475,1403,true,false,4330,475,1,CASA DE CUBA,6647,215,1,false,150271,25,200271,1,,271,1525
480,480,3,4334,480,true,false,480,1403,true,false,4334,480,1,"CECOEX, S.A.",6652,215,1,false,150276,25,200276,1,,276,1525
535,535,3,4339,535,true,false,535,1403,true,false,4339,535,1,CIMEX,6658,215,1,false,150317,25,200317,1,,317,1525
536,536,3,4340,536,true,false,536,1403,true,false,4340,536,1,CIMEX IBERICA,6659,215,1,false,150318,25,200318,1,,318,1525
537,537,3,4341,537,true,false,537,1403,true,false,4341,537,1,"CIMEX, S.A.",6660,215,1,false,150319,25,200319,1,,319,1525
540,540,3,4342,540,false,false,540,1400,false,false,12593,540,2,COIBA,18529,215,1,false,150321,25,200321,1,,321,1525
551,551,3,4346,551,true,false,551,1403,true,false,4346,551,1,"COMERCIAL CIMEX, S.A.",6667,215,1,false,150328,25,200328,1,,328,1525
552,552,3,4347,552,false,false,552,1400,false,false,12594,552,2,CRYMSA,18530,215,1,false,150329,25,200329,1,,329,1525
555,555,3,4349,555,false,false,555,1400,false,false,12597,555,2,COPROVA SARL,18533,215,1,false,150331,25,200331,1,,331,1525
559,559,3,4350,559,false,false,559,1400,false,false,12598,559,2,CIMEX,18534,215,1,false,150334,25,200334,1,,334,1525
576,576,3,4355,576,true,false,576,1403,true,false,4355,576,1,"CORPORACION CIMEX, S.A.",6676,215,1,false,150346,25,200346,1,,346,1525
578,578,3,4357,578,true,false,578,1403,true,false,4357,578,1,COTEI,6678,215,1,false,150348,25,200348,1,,348,1525
589,589,3,4361,589,true,false,589,1403,true,false,4361,589,1,"CRYMSA - ARGENTINA, S.A.",6684,215,1,false,150357,25,200357,1,,357,1525
