ID,AreaCodeID,CountryID,CountryRelevanceID,Address,City,State,FeatureVersionID
25,11073,11073,1413,,Havana,,200025
129,11211,11211,1413,"Ibex House, The Minories",London,EC3N 1DY,200129
199,11196,11196,1413,Zweierstrasse 35,Zurich,CH-8022,200199
200,11190,11190,1413,Avenida de Concha Espina 8,Madrid,E-28036,200200
201,11115,11115,1413,"Dai-Ichi Bldg. 6th Floor, 10-2 Nihombashi, 2-chome, Chuo-ku",Tokyo,103,200201
202,11162,11162,1413,Federico Boyd Avenue & 51 Street,Panama City,,200202
247,11162,11162,1413,42 Via Brasil,Panama City,,200247
271,11190,11190,1413,,,,200271
272,11143,11143,1413,,,,200272
276,11162,11162,1413,,Panama City,,200276
317,11143,11143,1413,Emerson No. 148 Piso 7,"Mexico, D.F.",11570,200317
318,11190,11190,1413,,,,200318
319,11162,11162,1413,,,,200319
321,11190,11190,1413,,,,200321
328,11162,11162,1413,,,,200328
329,11190,11190,1413,Jose Lazaro Galdeano 6-6,Madrid,28016,200329
331,11090,11090,1413,,Paris,,200331
334,11190,11190,1413,,,,200334
346,11162,11162,1413,,,,200346
348,11113,11113,1413,,Milan,,200348
357,11035,11035,1413,,Buenos Aires,,200357
358,11143,11143,1413,,Cancun,,200358
359,11190,11190,1413,,,,200359
360,11190,11190,1413,,,,200360
361,11113,11113,1413,,,,200361
362,11143,11143,1413,"Baja California 255, Edificio B. Oficina 103, Condesa","Mexico, D.F.",06500,200362
363,11190,11190,1413,,,,200363
365,11143,11143,1413,"1649 Adolfo Prieto, Colonia del Valle",Mexico City,,200365
376,11196,11196,1413,"Case Postale 236, 10 Bis Rue Du Vieux College 12-11",Geneva,,200376
408,11190,11190,1413,,,,200408
409,11162,11162,1413,,,,200409
438,11101,11101,1413,32 Main Street,Georgetown,,200438
439,11090,11090,1413,24 Rue Du Quatre Septembre,Paris,,200439
440,11033,11033,1413,Belas Airport,Luanda,,200440
441,11171,11171,1413,"Dobrininskaya No. 7, Sec 5",Moscow,,200441
442,11035,11035,1413,Corrientes 545 Primer Piso,Buenos Aires,,200442
443,11094,11094,1413,Frankfurter TOR 8-A,Berlin,,200443
444,11060,11060,1413,"1 Place Ville Marie, Suite 3431",Montreal,,200444
445,11075,11075,1413,Parizska 17,Prague,,200445
446,11165,11165,1413,Paseo de la Republica 126,Lima,,200446
447,11102,11102,1413,Piarco Airport,Port au Prince,,200447
448,11211,11211,1413,c/o Anglo-Caribbean Shipping Co. Ltd.,London,EC3N 1DY,200448
449,11114,11114,1413,Norman Manley International Airport,Kingston,,200449
450,11143,11143,1413,"Melchor Ocampo 469, 5DF",Mexico City,,200450
451,11162,11162,1413,Calle 29 y Avda Justo Arosemena,Panama City,,200451
452,11043,11043,1413,"Grantley Adams Airport, Christ Church",,,200452
453,11190,11190,1413,,Madrid,,200453
454,11090,11090,1413,,Paris,,200454
455,11113,11113,1413,,Milan,,200455
456,11171,11171,1413,,Moscow,,200456
457,11190,11190,1413,,Madrid,,200457
458,11094,11094,1413,,Cologne,,200458
459,11060,11060,1413,Downsview,Ontario,,200459
460,11115,11115,1413,,Tokyo,,200460
461,11035,11035,1413,,Buenos Aires,,200461
465,11211,11211,1413,"Devonshire House, 1 Devonshire Street",London,,200465
466,11115,11115,1413,"Kawabe Building, 1-5 Kanda Nishiki-Cho, Chiyoda-Ku",Tokyo,,200466
500,11060,11060,1413,5250 Ferrier Street,Montreal,,200500
44386,11211,11211,1413,4th Floor,London,E14 9SH,244386
44387,11073,11073,1413,"Edificio Atlantic, Oficina 4 H",Havana,10400,244387
572,11090,11090,1413,54 Rue Richelieu,Paris,,200572
660,11190,11190,1413,,,,200660
661,11162,11162,1413,,,,200661
793,11162,11162,1413,,,,200793
825,11120,11120,1413,,Pyongyang,,200825
826,11171,11171,1413,,Moscow,,200826
827,11190,11190,1413,,Barcelona,,200827
828,11094,11094,1413,,Rostock,,200828
829,11113,11113,1413,,Genoa,,200829
830,11167,11167,1413,,Syczecin,,200830
831,11153,11153,1413,,Rotterdam,,200831
832,11143,11143,1413,,,,200832
833,11035,11035,1413,,Buenos Aires,,200833
834,11060,11060,1413,,Montreal,,200834
835,11054,11054,1413,,Varna,,200835
848,11035,11035,1413,"San Martin 323, Piso 14",Buenos Aires,,200848
997,11153,11153,1413,Boezembolcht 23,Rotterdam,,200997
1006,11130,11130,1413,,,,201006
1007,11096,11096,1413,33 Akti Maouli,Pireas (Piraeus),185-35,201007
1052,11162,11162,1413,,,,201052
1069,11190,11190,1413,,,,201069
1100,11143,11143,1413,,,,201100
1101,11060,11060,1413,1010 O Rue Ste. Catherine,Montreal,PQ H303 IGI,201101
1102,11190,11190,1413,,,,201102
1237,11162,11162,1413,,,,201237
1394,11162,11162,1413,Edificio Saldivar,Panama City,,201394
1395,11094,11094,1413,Lietzenburger Strasse 51,Berlin,,201395
1430,11190,11190,1413,,,,201430
1431,11143,11143,1413,,Cancun,,201431
1432,11143,11143,1413,,Guadalajara,,201432
1433,11143,11143,1413,,Mexico City,,201433
1434,11143,11143,1413,,Monterey,,201434
1435,11143,11143,1413,,Roma,,201435
1832,11291,,,,,,201832
1833,11291,,,,,,201833
1834,11291,,,,,,201834
1835,11082,11082,1413,,,,201835
1836,11291,,,,,,201836
1837,11291,,,,,,201837
1839,11291,,,,,,201839
1840,11291,,,,,,201840
1841,11291,,,,,,201841
1843,11291,,,,,,201843
37108,11126,11126,1413,,,,237108
1848,11291,,,,,,201848
1849,11291,11291,1413,,Gaza Strip,,201849
1982,11060,11060,1413,,Saskatchewan,,201982
