Element,ID,CountryID,Description,AreaCodeTypeID,OrganisationID,LegalBasisShortRef,LegalBasisTypeID,SanctionsProgramID,PartyTypeID,ScriptCode,Symmetrical
AliasType,1400,,,,,,,,,,
AliasType,1401,,,,,,,,,,
AliasType,1402,,,,,,,,,,
AliasType,1403,,,,,,,,,,
AreaCode,11029,11029,Afghanistan,1,,,,,,,
AreaCode,11030,11030,Albania,1,,,,,,,
AreaCode,11031,11031,Algeria,1,,,,,,,
AreaCode,11033,11033,Angola,1,,,,,,,
AreaCode,11034,11034,Antigua and Barbuda,1,,,,,,,
AreaCode,11035,11035,Argentina,1,,,,,,,
AreaCode,11036,11036,Armenia,1,,,,,,,
AreaCode,11037,11037,Australia,1,,,,,,,
AreaCode,11038,11038,Austria,1,,,,,,,
AreaCode,11039,11039,Azerbaijan,1,,,,,,,
AreaCode,11040,11040,"Bahamas, The",1,,,,,,,
AreaCode,11041,11041,Bahrain,1,,,,,,,
AreaCode,11042,11042,Bangladesh,1,,,,,,,
AreaCode,11043,11043,Barbados,1,,,,,,,
AreaCode,11044,11044,Belarus,1,,,,,,,
AreaCode,11045,11045,Belgium,1,,,,,,,
AreaCode,11046,11046,Belize,1,,,,,,,
AreaCode,11047,11047,Benin,1,,,,,,,
AreaCode,11049,11049,Bolivia,1,,,,,,,
AreaCode,11050,11050,Bosnia and Herzegovina,1,,,,,,,
AreaCode,11052,11052,Brazil,1,,,,,,,
AreaCode,11053,11053,Brunei,1,,,,,,,
AreaCode,11054,11054,Bulgaria,1,,,,,,,
AreaCode,11055,11055,Burkina Faso,1,,,,,,,
AreaCode,11056,11056,Burma,1,,,,,,,
AreaCode,11058,11058,Cambodia,1,,,,,,,
AreaCode,11060,11060,Canada,1,,,,,,,
AreaCode,11061,11061,Cabo Verde,1,,,,,,,
AreaCode,11062,11062,Central African Republic,1,,,,,,,
AreaCode,11064,11064,Chile,1,,,,,,,
AreaCode,11065,11065,China,1,,,,,,,
AreaCode,11066,11066,Colombia,1,,,,,,,
AreaCode,11067,11067,Comoros,1,,,,,,,
AreaCode,11068,11068,"Congo, Republic of the",1,,,,,,,
AreaCode,11069,11069,"Congo, Democratic Republic of the",1,,,,,,,
AreaCode,11070,11070,Costa Rica,1,,,,,,,
AreaCode,11071,11071,Cote d Ivoire,1,,,,,,,
AreaCode,11072,11072,Croatia,1,,,,,,,
AreaCode,11073,11073,Cuba,1,,,,,,,
AreaCode,11074,11074,Cyprus,1,,,,,,,
AreaCode,11075,11075,Czech Republic,1,,,,,,,
AreaCode,11076,11076,Denmark,1,,,,,,,
AreaCode,11077,11077,Djibouti,1,,,,,,,
AreaCode,11078,11078,Dominica,1,,,,,,,
AreaCode,11079,11079,Dominican Republic,1,,,,,,,
AreaCode,11081,11081,Ecuador,1,,,,,,,
AreaCode,11082,11082,Egypt,1,,,,,,,
AreaCode,11083,11083,El Salvador,1,,,,,,,
AreaCode,11084,11084,Equatorial Guinea,1,,,,,,,
AreaCode,11085,11085,Eritrea,1,,,,,,,
AreaCode,11086,11086,Estonia,1,,,,,,,
AreaCode,11087,11087,Ethiopia,1,,,,,,,
AreaCode,11089,11089,Finland,1,,,,,,,
AreaCode,11090,11090,France,1,,,,,,,
AreaCode,11092,11092,The Gambia,1,,,,,,,
AreaCode,11093,11093,Georgia,1,,,,,,,
AreaCode,11094,11094,Germany,1,,,,,,,
AreaCode,11095,11095,Ghana,1,,,,,,,
AreaCode,11096,11096,Greece,1,,,,,,,
AreaCode,11098,11098,Guatemala,1,,,,,,,
AreaCode,11099,11099,Guinea,1,,,,,,,
AreaCode,11100,11100,Guinea-Bissau,1,,,,,,,
AreaCode,11101,11101,Guyana,1,,,,,,,
AreaCode,11102,11102,Haiti,1,,,,,,,
AreaCode,11104,11104,Honduras,1,,,,,,,
AreaCode,11105,11105,Hungary,1,,,,,,,
AreaCode,11107,11107,India,1,,,,,,,
AreaCode,11108,11108,Indonesia,1,,,,,,,
AreaCode,11109,11109,Iran,1,,,,,,,
AreaCode,11110,11110,Iraq,1,,,,,,,
AreaCode,11111,11111,Ireland,1,,,,,,,
AreaCode,11112,11112,Israel,1,,,,,,,
AreaCode,11113,11113,Italy,1,,,,,,,
AreaCode,11114,11114,Jamaica,1,,,,,,,
AreaCode,11115,11115,Japan,1,,,,,,,
AreaCode,11116,11116,Jordan,1,,,,,,,
AreaCode,11117,11117,Kazakhstan,1,,,,,,,
AreaCode,11118,11118,Kenya,1,,,,,,,
AreaCode,11120,11120,"Korea, North",1,,,,,,,
AreaCode,11121,11121,"Korea, South",1,,,,,,,
AreaCode,11122,11122,Kuwait,1,,,,,,,
AreaCode,11123,11123,Kyrgyzstan,1,,,,,,,
AreaCode,11124,11124,Laos,1,,,,,,,
AreaCode,11125,11125,Latvia,1,,,,,,,
AreaCode,11126,11126,Lebanon,1,,,,,,,
AreaCode,11128,11128,Liberia,1,,,,,,,
AreaCode,11129,11129,Libya,1,,,,,,,
AreaCode,11130,11130,Liechtenstein,1,,,,,,,
AreaCode,11132,11132,Luxembourg,1,,,,,,,
AreaCode,11133,11133,"North Macedonia, The Republic of",1,,,,,,,
AreaCode,11136,11136,Malaysia,1,,,,,,,
AreaCode,11137,11137,Maldives,1,,,,,,,
AreaCode,11138,11138,Mali,1,,,,,,,
AreaCode,11139,11139,Malta,1,,,,,,,
AreaCode,11140,11140,Marshall Islands,1,,,,,,,
AreaCode,11141,11141,Mauritania,1,,,,,,,
AreaCode,11143,11143,Mexico,1,,,,,,,
AreaCode,11145,11145,Moldova,1,,,,,,,
AreaCode,11146,11146,Monaco,1,,,,,,,
AreaCode,11147,11147,Mongolia,1,,,,,,,
AreaCode,11148,11148,Morocco,1,,,,,,,
AreaCode,11149,11149,Mozambique,1,,,,,,,
AreaCode,11150,11150,Namibia,1,,,,,,,
AreaCode,11153,11153,Netherlands,1,,,,,,,
AreaCode,11154,11154,New Zealand,1,,,,,,,
AreaCode,11155,11155,Nicaragua,1,,,,,,,
AreaCode,11156,11156,Niger,1,,,,,,,
AreaCode,11157,11157,Nigeria,1,,,,,,,
AreaCode,11158,11158,Norway,1,,,,,,,
AreaCode,11159,11159,Oman,1,,,,,,,
AreaCode,11160,11160,Pakistan,1,,,,,,,
AreaCode,11161,11161,Palau,1,,,,,,,
AreaCode,11162,11162,Panama,1,,,,,,,
AreaCode,11164,11164,Paraguay,1,,,,,,,
AreaCode,11165,11165,Peru,1,,,,,,,
AreaCode,11166,11166,Philippines,1,,,,,,,
AreaCode,11167,11167,Poland,1,,,,,,,
AreaCode,11168,11168,Portugal,1,,,,,,,
AreaCode,11169,11169,Qatar,1,,,,,,,
AreaCode,11170,11170,Romania,1,,,,,,,
AreaCode,11171,11171,Russia,1,,,,,,,
AreaCode,11172,11172,Rwanda,1,,,,,,,
AreaCode,11173,11173,Saint Kitts and Nevis,1,,,,,,,
AreaCode,11175,11175,Saint Vincent and the Grenadines,1,,,,,,,
AreaCode,11176,11176,Samoa,1,,,,,,,
AreaCode,11177,11177,San Marino,1,,,,,,,
AreaCode,11179,11179,Saudi Arabia,1,,,,,,,
AreaCode,11180,11180,Senegal,1,,,,,,,
AreaCode,11181,11181,Serbia,1,,,,,,,
AreaCode,11182,11182,Seychelles,1,,,,,,,
AreaCode,11183,11183,Sierra Leone,1,,,,,,,
AreaCode,11184,11184,Singapore,1,,,,,,,
AreaCode,11185,11185,Slovakia,1,,,,,,,
AreaCode,11186,11186,Slovenia,1,,,,,,,
AreaCode,11188,11188,Somalia,1,,,,,,,
AreaCode,11189,11189,South Africa,1,,,,,,,
AreaCode,11190,11190,Spain,1,,,,,,,
AreaCode,11191,11191,Sri Lanka,1,,,,,,,
AreaCode,11192,11192,Sudan,1,,,,,,,
AreaCode,11195,11195,Sweden,1,,,,,,,
AreaCode,11196,11196,Switzerland,1,,,,,,,
AreaCode,11197,11197,Syria,1,,,,,,,
AreaCode,11198,11198,Tajikistan,1,,,,,,,
AreaCode,11199,11199,Tanzania,1,,,,,,,
AreaCode,11200,11200,Thailand,1,,,,,,,
AreaCode,11203,11203,Trinidad and Tobago,1,,,,,,,
AreaCode,11204,11204,Tunisia,1,,,,,,,
AreaCode,11205,11205,Turkey,1,,,,,,,
AreaCode,11206,11206,Turkmenistan,1,,,,,,,
AreaCode,11208,11208,Uganda,1,,,,,,,
AreaCode,11209,11209,Ukraine,1,,,,,,,
AreaCode,11210,11210,United Arab Emirates,1,,,,,,,
AreaCode,11211,11211,United Kingdom,1,,,,,,,
AreaCode,11212,11212,United States,1,,,,,,,
AreaCode,11213,11213,Uruguay,1,,,,,,,
AreaCode,11214,11214,Uzbekistan,1,,,,,,,
AreaCode,11215,11215,Vanuatu,1,,,,,,,
AreaCode,11216,11216,Venezuela,1,,,,,,,
AreaCode,11217,11217,Vietnam,1,,,,,,,
AreaCode,11218,11218,Yemen,1,,,,,,,
AreaCode,11219,11219,Zambia,1,,,,,,,
AreaCode,11220,11220,Zimbabwe,1,,,,,,,
AreaCode,11223,11223,Aruba,1,,,,,,,
AreaCode,11226,11226,Bermuda,1,,,,,,,
AreaCode,11230,11230,Cayman Islands,1,,,,,,,
AreaCode,11241,11241,Gibraltar,1,,,,,,,
AreaCode,11247,11247,Hong Kong,1,,,,,,,
AreaCode,11250,11250,Jersey,1,,,,,,,
AreaCode,11253,11253,Macau,1,,,,,,,
AreaCode,11254,11254,"Man, Isle of",1,,,,,,,
AreaCode,11260,11260,Netherlands Antilles,1,,,,,,,
AreaCode,11278,11278,"Virgin Islands, British",1,,,,,,,
AreaCode,11291,11291,undetermined,1,,,,,,,
AreaCode,11292,11292,West Bank,1,,,,,,,
AreaCode,11391,11391,Taiwan,1,,,,,,,
AreaCode,91021,91021,Palestinian,1,,,,,,,
AreaCode,91116,91116,Kosovo,1,,,,,,,
AreaCode,91192,91192,Montenegro,1,,,,,,,
AreaCode,91434,91434,Region: Northern Mali,1,,,,,,,
AreaCode,91501,91501,South Sudan,1,,,,,,,
AreaCode,91704,91704,Region: Gaza,1,,,,,,,
Country,11029,,Afghanistan,,,,,,,,
Country,11030,,Albania,,,,,,,,
Country,11031,,Algeria,,,,,,,,
Country,11033,,Angola,,,,,,,,
Country,11034,,Antigua and Barbuda,,,,,,,,
Country,11035,,Argentina,,,,,,,,
Country,11036,,Armenia,,,,,,,,
Country,11037,,Australia,,,,,,,,
Country,11038,,Austria,,,,,,,,
Country,11039,,Azerbaijan,,,,,,,,
Country,11040,,"Bahamas, The",,,,,,,,
Country,11041,,Bahrain,,,,,,,,
Country,11042,,Bangladesh,,,,,,,,
Country,11043,,Barbados,,,,,,,,
Country,11044,,Belarus,,,,,,,,
Country,11045,,Belgium,,,,,,,,
Country,11046,,Belize,,,,,,,,
Country,11047,,Benin,,,,,,,,
Country,11049,,Bolivia,,,,,,,,
Country,11050,,Bosnia and Herzegovina,,,,,,,,
Country,11052,,Brazil,,,,,,,,
Country,11053,,Brunei,,,,,,,,
Country,11054,,Bulgaria,,,,,,,,
Country,11055,,Burkina Faso,,,,,,,,
Country,11056,,Burma,,,,,,,,
Country,11058,,Cambodia,,,,,,,,
Country,11060,,Canada,,,,,,,,
Country,11061,,Cabo Verde,,,,,,,,
Country,11062,,Central African Republic,,,,,,,,
Country,11064,,Chile,,,,,,,,
Country,11065,,China,,,,,,,,
Country,11066,,Colombia,,,,,,,,
Country,11067,,Comoros,,,,,,,,
Country,11068,,"Congo, Republic of the",,,,,,,,
Country,11069,,"Congo, Democratic Republic of the",,,,,,,,
Country,11070,,Costa Rica,,,,,,,,
Country,11071,,Cote d Ivoire,,,,,,,,
Country,11072,,Croatia,,,,,,,,
Country,11073,,Cuba,,,,,,,,
Country,11074,,Cyprus,,,,,,,,
Country,11075,,Czech Republic,,,,,,,,
Country,11076,,Denmark,,,,,,,,
Country,11077,,Djibouti,,,,,,,,
Country,11078,,Dominica,,,,,,,,
Country,11079,,Dominican Republic,,,,,,,,
Country,11081,,Ecuador,,,,,,,,
Country,11082,,Egypt,,,,,,,,
Country,11083,,El Salvador,,,,,,,,
Country,11084,,Equatorial Guinea,,,,,,,,
Country,11085,,Eritrea,,,,,,,,
Country,11086,,Estonia,,,,,,,,
Country,11087,,Ethiopia,,,,,,,,
Country,11089,,Finland,,,,,,,,
Country,11090,,France,,,,,,,,
Country,11092,,The Gambia,,,,,,,,
Country,11093,,Georgia,,,,,,,,
Country,11094,,Germany,,,,,,,,
Country,11095,,Ghana,,,,,,,,
Country,11096,,Greece,,,,,,,,
Country,11098,,Guatemala,,,,,,,,
Country,11099,,Guinea,,,,,,,,
Country,11100,,Guinea-Bissau,,,,,,,,
Country,11101,,Guyana,,,,,,,,
Country,11102,,Haiti,,,,,,,,
Country,11104,,Honduras,,,,,,,,
Country,11105,,Hungary,,,,,,,,
Country,11107,,India,,,,,,,,
Country,11108,,Indonesia,,,,,,,,
Country,11109,,Iran,,,,,,,,
Country,11110,,Iraq,,,,,,,,
Country,11111,,Ireland,,,,,,,,
Country,11112,,Israel,,,,,,,,
Country,11113,,Italy,,,,,,,,
Country,11114,,Jamaica,,,,,,,,
Country,11115,,Japan,,,,,,,,
Country,11116,,Jordan,,,,,,,,
Country,11117,,Kazakhstan,,,,,,,,
Country,11118,,Kenya,,,,,,,,
Country,11120,,"Korea, North",,,,,,,,
Country,11121,,"Korea, South",,,,,,,,
Country,11122,,Kuwait,,,,,,,,
Country,11123,,Kyrgyzstan,,,,,,,,
Country,11124,,Laos,,,,,,,,
Country,11125,,Latvia,,,,,,,,
Country,11126,,Lebanon,,,,,,,,
Country,11128,,Liberia,,,,,,,,
Country,11129,,Libya,,,,,,,,
Country,11130,,Liechtenstein,,,,,,,,
Country,11132,,Luxembourg,,,,,,,,
Country,11133,,"North Macedonia, The Republic of",,,,,,,,
Country,11136,,Malaysia,,,,,,,,
Country,11137,,Maldives,,,,,,,,
Country,11138,,Mali,,,,,,,,
Country,11139,,Malta,,,,,,,,
Country,11140,,Marshall Islands,,,,,,,,
Country,11141,,Mauritania,,,,,,,,
