ID,ProfileID,ListID,EntryEventTypeID,LegalBasisID,Comment,Year,Month,Day,SanctionsMeasureID,SanctionsTypeID,SanctionsMeasureComment,YearFixed,MonthFixed,DayFixed
36,36,1550,1,1,,1986,12,10,4716,1705,,true,true,true
36,36,1550,1,1,,1986,12,10,126005,1,CUBA,true,true,true
173,173,1550,1,1,,1984,7,12,9029,1705,,true,true,true
173,173,1550,1,1,,1984,7,12,126014,1,CUBA,true,true,true
306,306,1550,1,1820,,1989,3,30,1616,1705,,true,true,true
306,306,1550,1,1820,,1989,3,30,126018,1,CUBA,true,true,true
424,424,1550,1,1,,1986,12,10,8022,1705,,true,true,true
424,424,1550,1,1,,1986,12,10,126026,1,CUBA,true,true,true
475,475,1550,1,1,,1989,10,10,4673,1705,,true,true,true
475,475,1550,1,1,,1989,10,10,126034,1,CUBA,true,true,true
480,480,1550,1,1,,1986,12,10,9317,1705,,true,true,true
480,480,1550,1,1,,1986,12,10,126038,1,CUBA,true,true,true
535,535,1550,1,1,,1989,10,10,5972,1705,,true,true,true
535,535,1550,1,1,,1989,10,10,126046,1,CUBA,true,true,true
536,536,1550,1,1,,1986,12,10,6761,1705,,true,true,true
536,536,1550,1,1,,1986,12,10,126047,1,CUBA,true,true,true
537,537,1550,1,1,,2004,2,9,4552,1705,,true,true,true
537,537,1550,1,1,,2004,2,9,126048,1,CUBA,true,true,true
540,540,1550,1,1,,1989,10,10,4798,1705,,true,true,true
540,540,1550,1,1,,1989,10,10,126049,1,CUBA,true,true,true
551,551,1550,1,1,,1986,12,10,5952,1705,,true,true,true
551,551,1550,1,1,,1986,12,10,126053,1,CUBA,true,true,true
552,552,1550,1,1,,1986,12,10,6928,1705,,true,true,true
552,552,1550,1,1,,1986,12,10,126054,1,CUBA,true,true,true
555,555,1550,1,1,,1994,11,17,5469,1705,,true,true,true
555,555,1550,1,1,,1994,11,17,126056,1,CUBA,true,true,true
559,559,1550,1,1,,1989,10,10,9259,1705,,true,true,true
559,559,1550,1,1,,1989,10,10,126058,1,CUBA,true,true,true
576,576,1550,1,1,,1986,12,10,7252,1705,,true,true,true
576,576,1550,1,1,,1986,12,10,126063,1,CUBA,true,true,true
578,578,1550,1,1,,1986,12,10,5576,1705,,true,true,true
578,578,1550,1,1,,1986,12,10,126065,1,CUBA,true,true,true
589,589,1550,1,1,,1986,12,10,8208,1705,,true,true,true
589,589,1550,1,1,,1986,12,10,126069,1,CUBA,true,true,true
590,590,1550,1,1,,1989,10,10,4664,1705,,true,true,true
590,590,1550,1,1,,1989,10,10,126070,1,CUBA,true,true,true
591,591,1550,1,1,,1989,10,10,4264,1705,,true,true,true
591,591,1550,1,1,,1989,10,10,126071,1,CUBA,true,true,true
592,592,1550,1,1,,1989,10,10,5028,1705,,true,true,true
592,592,1550,1,1,,1989,10,10,126072,1,CUBA,true,true,true
593,593,1550,1,1,,1989,10,10,9171,1705,,true,true,true
593,593,1550,1,1,,1989,10,10,126073,1,CUBA,true,true,true
621,621,1550,1,1,,1989,10,10,8413,1705,,true,true,true
621,621,1550,1,1,,1989,10,10,126074,1,CUBA,true,true,true
622,622,1550,1,1,,1989,10,10,6423,1705,,true,true,true
622,622,1550,1,1,,1989,10,10,126075,1,CUBA,true,true,true
636,636,1550,1,1,,1986,12,10,5061,1705,,true,true,true
636,636,1550,1,1,,1986,12,10,126077,1,CUBA,true,true,true
651,651,1550,1,1,,1986,12,10,5341,1705,,true,true,true
651,651,1550,1,1,,1986,12,10,126081,1,CUBA,true,true,true
701,701,1550,1,1,,1989,10,10,6925,1705,,true,true,true
701,701,1550,1,1,,1989,10,10,126091,1,CUBA,true,true,true
702,702,1550,1,1,,1989,1,5,4234,1705,,true,true,true
702,702,1550,1,1,,1989,1,5,126092,1,CUBA,true,true,true
735,735,1550,1,1,,1989,3,30,5836,1705,,true,true,true
735,735,1550,1,1,,1989,3,30,126094,1,CUBA,true,true,true
751,751,1550,1,91707,,1989,3,30,8496,1705,,true,true,true
751,751,1550,1,91707,,1989,3,30,126110,1,CUBA,true,true,true
758,758,1550,1,1,,1989,10,10,6552,1705,,true,true,true
758,758,1550,1,1,,1989,10,10,126117,1,CUBA,true,true,true
767,767,1550,1,1,,1986,12,10,7247,1705,,true,true,true
767,767,1550,1,1,,1986,12,10,126118,1,CUBA,true,true,true
768,768,1550,1,1,,1986,12,10,4566,1705,,true,true,true
768,768,1550,1,1,,1986,12,10,126119,1,CUBA,true,true,true
815,815,1550,1,1,,1986,12,10,4444,1705,,true,true,true
815,815,1550,1,1,,1986,12,10,126127,1,CUBA,true,true,true
906,906,1550,1,91707,,1989,3,30,8167,1705,,true,true,true
906,906,1550,1,91707,,1989,3,30,126137,1,CUBA,true,true,true
