Alias,Documented Name
AEROCARIBBEAN AIRLINES,
AERO-CARIBBEAN,
"ANGLO-CARIBBEAN CO., LTD.",
AVIA IMPORT,
BANCO NACIONAL DE CUBA,
BNC,
NATIONAL BANK OF CUBA,
BOUTIQUE LA MAISON,
CASA DE CUBA,
"CECOEX, S.A.",
CIMEX,
CIMEX IBERICA,
"CIMEX, S.A.",
"COMERCIAL IBEROAMERICANA, S.A.",
COIBA,
"COMERCIAL CIMEX, S.A.",
"COMERCIAL DE RODAJES Y MAQUINARIA, S.A.",
CRYMSA,
COMERCIALIZACION DE PRODUCTOS VARIOS,
COPROVA,
COPROVA SARL,
COMPANIA DE IMPORTACION Y EXPORTACION IBERIA,
CIMEX,
"CORPORACION CIMEX, S.A.",
COTEI,
"CRYMSA - ARGENTINA, S.A.",
CUBACANCUN CIGARS AND GIFT SHOPS,
CUBAEXPORT,
CUBAFRUTAS,
CUBAN CIGARS TRADE,
CUBANATUR,
CUBATABACO,
"CUMEXINT, S.A.",
"DELVEST HOLDING, S.A.",
DELVEST HOLDING COMPANY,
EDICIONES CUBANAS,
"EDYJU, S.A.",
EMPRESA CUBANA DE AVIACION,
CUBANA AIRLINES,
EMPRESA CUBANA DE PESCADOS Y MARISCOS,
CARIBEX,
CARIBBEAN EXPORT ENTERPRISE,
EMPRESA DE TURISMO NACIONAL Y INTERNACIONAL,
CUBATUR,
ETCO INTERNATIONAL COMMODITIES LTD.,
"ETCO INTERNATIONAL COMPANY, LIMITED",
"GALAX TRADING CO., LTD.",
GALAX INC.,
HAVIN BANK LIMITED,
"HAVANA INTERNATIONAL BANK, LTD",
HAVANATUR,
INSTITUTO NACIONAL DE TURISMO DE CUBA,
INTERCONSULT,
"KAVE, S.A.",
LA EMPRESA CUBANA DE FLETES,
CUFLET,
CUBAN FREIGHT ENTERPRISE,
"LEVERAGE, S.A.",
NIREF,
NORDSTRAND LTD.,
NORDSTRAND MARITIME AND TRADING COMPANY,
PANAMERICAN IMPORT AND EXPORT COMMERCIAL CORPORATION,
"PESCABRAVA, S.A.",
PRELASA,
PRENSA LATINA CANADA LTD.,
PRENSA LATINA,
"SERVINAVES, S.A.",
"TROBER, S.A.",
"TROVER, S.A.",
TROPIC TOURS GMBH,
TROPICANA TOURS GMBH,
"VIAJES GUAMA, S.A.",
VINALES TOURS,
ABBAS,Abu
ZAYDAN,Muhammad
AL RAHMAN,Shaykh Umar Abd
AL ZAWAHIRI,Dr. Ayman
AL-ZAWAHIRI,Ayman
SALIM,Ahmad Fuad
AL-ZAWAHIRI,Aiman Muhammad Rabi
Al-Zomor,Abboud Abdul Latif Hassan
ZUMAR,Abbud
AL-Zumar,Abbud
El-Zomor,Aboud Abdul Latif Hasan
Al-Zumur,Abood Abdul Latif Hassan
Al-Zamur,Abboud Abdul Latif Hassan
AWDA,Abd Al Aziz
FADLALLAH,Shaykh Muhammad Husayn
HAWATMA,Nayif
HAWATMEH,Nayif
HAWATMAH,Nayif
KHALID,Abu
ISLAMBOULI,Mohammad Shawqi
JABRIL,Ahmad
JIBRIL,Ahmad
NAJI,Talal Muhammad Rashid
NASRALLAH,Hasan
NASRALLAH,Hasan
TUFAYLI,Subhi
YASSIN,Sheik Ahmed Ismail
COBALT REFINERY CO. INC.,
LA COMPANIA GENERAL DE NIQUEL,
GENERAL NICKEL SA,
INTERNATIONAL COBALT CO. INC.,
MOA NICKEL SA,
ABU MARZOOK,Mousa Mohammed
MARZUK,Musa Abu
ABU-MARZUQ,Dr. Musa
MARZOOK,Mousa Mohamed Abou
ABU-MARZUQ,Sa'id
ABU-'UMAR,
MARZOUK,Musa Abu
RODRIGUEZ OREJUELA,Gilberto Jose
The Chess Player,
Lucas,
RODRIGUEZ OREJUELA,Miguel Angel
El Senor,
Patricia,
Patricio,
Patty,
Pat,
Manuel,
Manolo,
Mike,
Mauro,
Doctor M.R.O.,
MAR AZUL,
EBANO,
ANA I,
SAND SWAN,
TIFON,
ABDALLAH,Ramadan
ABDULLAH,Dr. Ramadan
SHALLAH,Dr. Ramadan Abdullah
SHALLAH,Ramadan Abdalla Mohamed
BANK MARKAZI JOMHOURI ISLAMI IRAN,
Non-Latin: بانک مرکزی جمهوری اسلامی ایران,Non-Latin: CENTRAL BANK OF THE ISLAMIC REPUBLIC OF IRAN
BANK MARKAZI IRAN,
CENTRAL BANK OF IRAN,
BANK MASKAN,
HOUSING BANK - OF IRAN,
BANK REFAH KARGARAN,
WORKERS' WELFARE BANK - OF IRAN,
BANK REFAH,
BANK KESHAVARZI IRAN,
AGRICULTURAL BANK OF IRAN,
BANK KESHAVARZI,
BANK SADERAT PLC,
IRAN OVERSEAS INVESTMENT BANK PLC,
IRAN OVERSEAS INVESTMENT CORPORATION LIMITED,
